CPAH,YEAR,WAVE,DEP20,DEP10,Region
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
0,2013,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
3.75,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2011,4to5,20to59,20to29,North
0,2012,4to5,0to19,10to19,North
0,2014,2to3,0to19,10to19,North
0,2013,4to5,0to19,10to19,North
0,2008,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
2.14285714285714,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2012,4to5,0to19,10to19,North
0,2007,4to5,20to59,20to29,South
0,2003,4to5,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2003,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2009,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2004,2to3,0to19,10to19,South
0,2003,4to5,20to59,30to39,South
0,2003,4to5,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2001,4to5,20to59,30to39,South
0,2001,4to5,20to59,30to39,South
0,2001,4to5,20to59,30to39,South
0,2003,2to3,0to19,10to19,South
0.857142857142857,2011,2to3,0to19,10to19,South
0,2004,2to3,0to19,10to19,South
0,2003,4to5,20to59,20to29,South
0,2011,2to3,20to59,30to39,South
0,2008,4to5,20to59,20to29,South
0,2005,2to3,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
0,2011,2to3,20to59,30to39,South
0,2011,2to3,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2011,2to3,0to19,10to19,South
0,2008,4to5,0to19,0to9,South
0,2005,4to5,20to59,30to39,South
0,2011,2to3,0to19,10to19,South
0,2008,2to3,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2007,2to3,0to19,10to19,South
0,2003,4to5,0to19,10to19,South
0,2009,2to3,20to59,20to29,South
0,2003,4to5,20to59,20to29,South
0,2003,4to5,20to59,30to39,South
0,2003,4to5,20to59,20to29,South
0.857142857142857,2005,2to3,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2003,4to5,20to59,30to39,South
0.476190476190476,2004,2to3,20to59,20to29,South
0,2001,4to5,20to59,30to39,South
4,2003,4to5,20to59,40to49,South
0,2003,4to5,20to59,20to29,South
0,2003,2to3,0to19,10to19,South
0,2003,2to3,20to59,20to29,South
0,2012,4to5,0to19,10to19,South
0,2008,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2004,2to3,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2003,2to3,20to59,30to39,South
0,2012,4to5,0to19,10to19,South
0,2010,4to5,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2001,4to5,0to19,10to19,South
1.25,2003,4to5,20to59,40to49,South
0,2010,4to5,20to59,30to39,South
0,2010,4to5,20to59,30to39,South
0,2005,4to5,0to19,10to19,South
0,2012,4to5,20to59,20to29,South
1.33333333333333,2003,4to5,20to59,20to29,South
0,2010,2to3,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2010,4to5,20to59,20to29,South
0,2008,2to3,20to59,40to49,South
0,2004,2to3,20to59,20to29,South
0,2008,4to5,0to19,10to19,South
0,2007,4to5,20to59,30to39,South
0,2010,2to3,20to59,20to29,South
0,2012,4to5,20to59,30to39,South
0,2010,2to3,0to19,10to19,South
0,2004,2to3,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2004,2to3,20to59,20to29,South
0,2012,4to5,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2006,2to3,20to59,30to39,South
0,2006,2to3,20to59,20to29,South
0,2011,2to3,20to59,20to29,South
0,2008,2to3,20to59,20to29,South
0,2009,2to3,20to59,30to39,South
0,2009,4to5,20to59,20to29,South
0,2010,4to5,20to59,30to39,South
0,2012,4to5,20to59,20to29,South
0,2010,2to3,0to19,10to19,South
0,2007,2to3,0to19,10to19,South
0,2007,2to3,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2012,4to5,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2012,4to5,20to59,20to29,South
0,2012,4to5,20to59,20to29,South
0,2012,4to5,20to59,30to39,South
0,2012,4to5,20to59,20to29,South
0,2003,2to3,0to19,10to19,South
0,2010,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2012,4to5,20to59,20to29,South
0,2010,4to5,20to59,30to39,South
0,2010,4to5,20to59,30to39,South
0,2005,4to5,20to59,20to29,South
0,2010,2to3,20to59,20to29,South
0,2007,4to5,0to19,10to19,South
0,2009,2to3,0to19,10to19,South
0,2006,2to3,20to59,30to39,South
0.476190476190476,2004,2to3,20to59,20to29,South
0,2004,2to3,20to59,20to29,South
1.71428571428571,2003,4to5,20to59,20to29,South
0,2010,4to5,20to59,30to39,South
1.2,2003,2to3,20to59,20to29,South
0,2005,4to5,20to59,20to29,South
0,2005,4to5,20to59,20to29,South
0,2010,2to3,0to19,10to19,South
0,2007,4to5,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2008,2to3,0to19,10to19,South
0,2005,2to3,0to19,10to19,South
0,2003,4to5,20to59,20to29,South
0,2008,2to3,20to59,20to29,South
0,2003,4to5,0to19,10to19,South
0,2009,4to5,20to59,30to39,South
0,2006,4to5,20to59,20to29,South
0,2010,2to3,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
0,2005,4to5,20to59,20to29,South
0,2005,2to3,0to19,10to19,South
0,2004,2to3,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2009,4to5,20to59,30to39,South
0,2010,4to5,20to59,30to39,South
0,2003,2to3,20to59,30to39,South
0,2001,4to5,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2011,2to3,0to19,10to19,South
0,2007,4to5,20to59,30to39,South
0,2003,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
